N,P,K,temperature,humidity,ph,rainfall,label
87,50,58,27.075106252327945,84.69662024101524,6.622919925044997,251.96689245404573,rice
100,57,50,27.17352101206315,93.9430417029916,5.502116180147874,292.08146551299694,rice
82,53,59,28.71598952757247,98.87944617717096,5.807592153219568,231.2333906448788,rice
107,46,57,29.66034839550193,99.77474006136899,6.499927690908181,230.2970327587739,rice
95,47,58,26.403897553205642,91.03587613695932,6.756755997298903,250.18969902455362,rice
117,40,56,20.162049695457892,99.94728188649356,6.151868225770636,246.66526923170488,rice
90,43,48,24.038376935315437,90.22851612596628,6.605453353938904,220.71903886403896,rice
81,54,41,20.73077932923307,98.68563761032141,5.909353554634038,269.68476437522224,rice
84,41,58,20.422362954402743,90.62658476826341,6.36510595293697,210.9141735378742,rice
112,56,46,21.45135251165475,86.98173761196622,6.078082530686911,231.46433405738406,rice
81,58,50,23.708827808545465,82.42839146477552,5.789256587771516,297.5611212632038,rice
119,56,43,27.97975074487218,90.43958004942112,5.5522518485874475,268.3079334443757,rice
107,51,41,25.412890400876904,99.55064389693229,6.256904137955241,284.3167004732744,rice
90,59,44,29.100589318894496,85.55215430297604,6.3714965072807646,218.67009109187174,rice
106,49,58,27.1780899037457,89.21928623158733,6.369056510639403,276.4008121603413,rice
114,58,41,21.344111440969165,85.26826075356058,6.952642699627827,211.8002177877569,rice
110,56,49,28.39178826195498,93.59639432948174,5.576619700458309,236.37254176946792,rice
91,54,50,24.196037729083287,98.44091723981339,5.746835646658221,214.20091058242312,rice
80,43,52,25.762584778516064,98.60506703851533,6.933371853274167,200.08259172406372,rice
117,53,50,26.618730418616643,95.17253654887956,6.361991207893002,242.81614136274894,rice
119,55,46,23.009315999565786,98.39368912185569,6.292418375821781,239.3569598686036,rice
112,46,42,28.88530634302946,99.37549734330794,5.722594726970873,264.06773563940266,rice
108,50,53,21.688514115718487,99.63689178532115,6.682236834697386,218.39510633806617,rice
89,47,56,26.377668544162866,94.28435424825719,6.632668654792115,256.73683968765204,rice
102,53,59,23.966477837310453,85.2283554657146,6.348177652471639,230.48104159193176,rice
93,55,40,28.163357574267472,85.29322301820193,6.376588327056792,211.83704244623735,rice
86,58,52,24.295371638650458,87.6828451568632,5.9120462618421294,261.9071962921427,rice
92,55,43,24.33425065221602,99.8148614329333,5.941152820316177,236.2742215926254,rice
80,42,48,26.10971689986535,80.62395659881793,6.898788982914666,207.13674912044488,rice
89,48,41,26.778667893920474,97.22230537438443,6.959432711930862,292.40772201126134,rice
115,40,52,28.88837238257809,96.95592591173458,5.751024893247167,206.87783680229782,rice
86,48,40,21.993062852880858,99.47948016004591,6.903039450717673,206.0912294447429,rice
103,57,58,28.240365729027918,85.20265461589996,5.596758507665588,267.8554375174323,rice
99,51,59,29.118465359168507,94.48496400814275,6.290287318840984,238.3621247411816,rice
81,43,44,24.1529652526918,91.26222875035091,5.985417302866384,248.1759276658936,rice
85,54,41,28.79741323928304,80.00815212296048,5.645380711830418,251.27870205971976,rice
88,42,48,27.738497035841448,83.56988195140822,6.024194060283347,238.65129278914534,rice
117,56,52,21.32500416400515,85.9448059239383,6.500477444810783,253.30489032641185,rice
119,48,58,22.49983196803042,84.2681908579971,6.255687428384934,249.14149789458233,rice
80,45,54,22.075927741562683,81.52155944027847,5.953696390328114,223.551619593347,rice
102,50,57,20.093172491256006,93.67694561003522,6.145776615619198,224.00284747902344,rice
98,42,50,29.715646287500007,93.45534151482461,5.816181409866262,297.91833237222227,rice
115,41,58,23.24909099999517,86.96996745433296,6.605124097358063,236.83535864456368,rice
97,46,53,21.093808971651626,92.23022902042037,5.92247074307728,259.4020678305008,rice
92,46,50,23.806246641791205,83.15469678382541,6.004015835156161,223.36938848129978,rice
88,57,40,27.463336787403346,86.26432727270101,6.807121980661833,243.5841852126041,rice
83,54,53,27.160951543221426,88.40218521427475,6.916220631914669,296.3057261288893,rice
93,46,40,22.710336268263283,86.94818582354242,5.872951359129032,280.924718264623,rice
101,45,44,28.52023855654911,97.05673086404748,6.195383082299119,220.2645591877827,rice
100,46,54,26.64489472168361,96.14446749912835,5.930999498069893,257.3474276707251,rice
106,54,49,22.04801365078535,97.10796738630651,5.528717796066605,277.6629061446825,rice
85,52,57,22.011970099270115,89.03876979163229,6.915203472923582,208.45007217890148,rice
90,59,55,27.66163805931396,81.57236673866551,6.766925871642348,271.7399350752204,rice
102,57,41,27.427430658079693,85.13690980512192,6.338748896039053,228.66114558374667,rice
101,47,43,24.766287927976528,89.84749853540731,5.903087507001935,289.32508577523805,rice
119,49,46,21.692451563044,82.00310657869157,5.570263154677145,277.48524251485895,rice
96,44,41,23.36545580972436,97.40286495826874,5.606516497623289,266.1646183547832,rice
116,59,54,24.535360187895183,92.63482044439263,6.077301116134011,256.77058746327305,rice
104,49,48,24.210782957237242,88.24058430439133,5.912304467960107,219.0480252361777,rice
95,45,49,28.931538730866123,96.89918947521656,5.616844677989351,274.9601760258437,rice
97,54,40,28.35422688611017,80.07365455410306,6.212068440310884,203.19699342485796,rice
86,44,41,24.858594420166316,86.92714422366595,5.92229875436908,252.322337308922,rice
88,45,45,29.240292652605252,93.7089996096902,6.830571438097075,244.64565619090533,rice
116,58,41,20.428286967232793,83.06116500843751,5.957164456776191,235.39833297791319,rice
116,50,57,25.641587405629647,89.68880979737244,5.7610627053648855,226.17594231801888,rice
88,51,59,21.911402756730645,83.83247988982444,5.814662981818278,234.83962087142828,rice
81,44,53,21.892494723763715,88.34219242357034,6.824537496568034,283.91364442593084,rice
116,42,50,20.726588389351786,82.39455362401094,5.6832969898417875,260.0706525522581,rice
104,51,52,24.15367865380547,89.51049104261804,6.922227856211896,234.13321633826007,rice
107,54,51,26.585429965420666,90.44826153834504,6.599834578839763,227.87422567734384,rice
115,51,56,28.816418797347204,87.70241342307713,6.832514269605266,220.07046343702967,rice
80,44,50,23.054867079082232,80.10472524571169,6.331109443468191,295.0842875012061,rice
107,40,43,22.72413228728782,81.66312087867813,6.401049939864064,262.0156916929082,rice
103,59,55,22.639295631816506,88.74811543224916,5.678806030901888,245.6894018400556,rice
87,49,58,26.403902921619228,94.15938044043166,5.881978300117767,293.2087540038916,rice
92,58,40,23.54861521689751,80.93625170659256,6.773964149141804,203.19518449185813,rice
101,40,40,29.317836953973483,86.74103629194491,6.090893224335439,203.91503753287955,rice
